Condition,PSNR ↑,SSIM ↑,LPIPS ↓
Bicubic,32.59393762542581,0.7949829697608948,0.4112709338590503
Real-ESRGAN base,29.45225368922901,0.7327913641929626,0.28620055481791495
MatForge SR (fine-tuned),27.82683362976256,0.7319228649139404,0.5070486246049404
