Model,Normal MAE (°),Roughness MAE,Roughness RMSE,LPIPS render
Pix2Pix,14.740476963189325,0.2120362842652183,0.23269280221305524,0.29883567276392686
DeepPBR,13.641371040610792,0.22384651470736563,0.24723122494129413,0.3392233373780444
MatForge,10.395013439605941,0.10835481834777208,0.12678591598126088,0.29107084439892555
