filename,group,normal_mae,rough_mae,rough_rmse,lpips_render
ceramic_0001.png,ceramic_ground,5.800382614135742,0.11439196765422821,0.1329173743724823,0.3258406460285187
ceramic_0004.png,wood,19.812259674072266,0.05555453896522522,0.06657695025205612,0.3461581289768219
ceramic_0009.png,mixed_ambiguous,12.336524963378906,0.30674290657043457,0.32671594619750977,0.2545211464166641
ceramic_0010.png,mixed_ambiguous,17.823719024658203,0.31590110063552856,0.3628934323787689,0.27555055022239683
ceramic_0026.png,ceramic_ground,19.94902992248535,0.17441275715827942,0.23428364098072052,0.19227604269981385
ceramic_0027.png,mixed_ambiguous,18.38713836669922,0.30715736746788025,0.32724523544311523,0.22379214763641359
ceramic_0036.png,metal,27.6334285736084,0.05332939699292183,0.0686417818069458,0.2816395491361618
ceramic_0059.png,mixed_ambiguous,10.235555648803711,0.3750244379043579,0.3836618959903717,0.12867515683174133
ceramic_0071.png,mixed_ambiguous,17.028209686279297,0.061597760766744614,0.07966574281454086,0.31496740579605104
ceramic_0083.png,mixed_ambiguous,21.871187210083008,0.03965003043413162,0.04323679208755493,0.5322373628616333
ceramic_0092.png,ceramic_ground,23.759042739868164,0.26539450883865356,0.27531564235687256,0.27103430926799776
ceramic_0099.png,ceramic_ground,5.943312644958496,0.13501429557800293,0.16600580513477325,0.1165526419878006
ceramic_0100.png,ceramic_ground,13.604837417602539,0.050002988427877426,0.064935103058815,0.09053048640489578
ceramic_0109.png,ceramic_ground,9.45881462097168,0.41869696974754333,0.4232679009437561,0.30661870539188385
ceramic_0112.png,marble_smooth,4.861696243286133,0.0669018030166626,0.09283783286809921,0.1873730719089508
ceramic_0115.png,mixed_ambiguous,8.222561836242676,0.6043807864189148,0.6288133859634399,0.47064111828804017
ceramic_0121.png,ceramic_ground,17.94281768798828,0.20526869595050812,0.21945472061634064,0.35194762945175173
ceramic_0122.png,ceramic_ground,5.180546760559082,0.22987812757492065,0.24677912890911102,0.1877659648656845
ceramic_0129.png,mixed_ambiguous,23.481700897216797,0.40548232197761536,0.40951254963874817,0.5715229630470275
ceramic_0158.png,mixed_ambiguous,13.133125305175781,0.16913850605487823,0.20633576810359955,0.3592238545417786
ceramic_0160.png,ceramic_ground,10.076627731323242,0.06802148371934891,0.0879661813378334,0.10639505535364151
ceramic_0166.png,ceramic_ground,5.949488162994385,0.46568283438682556,0.48592230677604675,0.7229418873786926
ceramic_0178.png,brick_terracotta,44.06666564941406,0.18941721320152283,0.22833216190338135,0.2778206944465637
ceramic_0183.png,mixed_ambiguous,18.668323516845703,0.05611187592148781,0.06809477508068085,0.2531124696135521
ceramic_0203.png,ceramic_ground,12.051802635192871,0.05744249373674393,0.07867749780416489,0.2691390663385391
ceramic_0214.png,stone_rough,11.569013595581055,0.13669568300247192,0.17489340901374817,0.2312862068414688
ceramic_0216.png,ceramic_ground,12.799179077148438,0.1942392736673355,0.20928668975830078,0.14633651971817016
ceramic_0230.png,ceramic_ground,6.279418468475342,0.0701744556427002,0.09775330126285553,0.21894995495676994
ceramic_0240.png,mixed_ambiguous,13.97739028930664,0.236361563205719,0.26270437240600586,0.31083176732063295
ceramic_0241.png,ceramic_ground,15.356982231140137,0.22500552237033844,0.241025909781456,0.21934219896793367
ceramic_0254.png,ceramic_ground,10.386810302734375,0.39034149050712585,0.39492952823638916,0.14479146897792816
ceramic_0274.png,ceramic_ground,9.517428398132324,0.3440510034561157,0.357242226600647,0.5319584548473358
ceramic_0276.png,marble_smooth,3.6835482120513916,0.2182110846042633,0.24035261571407318,0.29252644777297976
ceramic_0277.png,wood,19.766490936279297,0.2887861132621765,0.3204799294471741,0.47066405415534973
ceramic_0287.png,ceramic_ground,14.107111930847168,0.42495468258857727,0.4468699097633362,0.22933339774608613
ceramic_0296.png,ceramic_ground,4.478489398956299,0.23779147863388062,0.24553240835666656,0.2469281941652298
ceramic_0301.png,mixed_ambiguous,9.438522338867188,0.22496016323566437,0.24764306843280792,0.5301617920398712
ceramic_0307.png,mixed_ambiguous,5.967075347900391,0.36664843559265137,0.3726810812950134,0.557834780216217
ceramic_0308.png,ceramic_ground,11.433547973632812,0.39606767892837524,0.4146084785461426,0.32319356203079225
ceramic_0317.png,ceramic_ground,6.44927978515625,0.1474284529685974,0.1586277186870575,0.2261902302503586
ceramic_0319.png,ceramic_ground,4.554625511169434,0.2239249348640442,0.23928017914295197,0.19139883071184158
ceramic_0321.png,concrete_plaster,39.46718978881836,0.21855507791042328,0.25244128704071045,0.33554454445838927
