filename,group,psnr_bicubic,ssim_bicubic,lpips_bicubic,psnr_realesrgan,ssim_realesrgan,lpips_realesrgan,psnr_sr_ft,ssim_sr_ft,lpips_sr_ft
stone_0755.png,wood,36.78959898525941,0.8414963,0.4602943956851959,34.35920839353846,0.7878084,0.2858237326145172,34.98986870518144,0.8192542,0.5467241406440735
stone_0402.png,mixed_ambiguous,26.644424528152612,0.70501024,0.5166298747062683,24.24058318303016,0.5784957,0.32304683327674866,24.324710789135267,0.5200577,0.6584495902061462
stone_0063.png,stone_rough,30.842855474045695,0.684231,0.5828527212142944,29.69357603166168,0.6375059,0.43793052434921265,29.591634742296044,0.6269383,0.6448723077774048
ceramic_0240.png,mixed_ambiguous,31.83015839743756,0.9092472,0.10972870141267776,29.79466478717152,0.8823649,0.1112363189458847,26.078152792276086,0.84185165,0.17438814043998718
concrete_0238.png,mixed_ambiguous,24.987203701197785,0.51488405,0.6404556035995483,23.798088709656664,0.44900692,0.46317437291145325,23.718263083416087,0.39879003,0.7282940149307251
plaster_0095.png,metal,24.802763808359146,0.38338187,0.8037649989128113,23.6964549981434,0.2709312,0.6524463891983032,21.976923540408357,0.30685103,0.8487944602966309
ceramic_0166.png,ceramic_ground,54.973947448227705,0.9967158,0.05840948596596718,41.93711229539774,0.9920028,0.06005473434925079,27.678585025242924,0.9944203,0.12159763276576996
wood_0345.png,wood,34.26726327948275,0.8347561,0.380908340215683,31.396644689003246,0.7690565,0.18810011446475983,31.052704067860276,0.7954714,0.4640241861343384
ceramic_0203.png,ceramic_ground,48.085717591924706,0.98759586,0.0694860890507698,39.90809461459855,0.9691691,0.09882604330778122,33.483281648441135,0.9779868,0.153737872838974
terracotta_0138.png,brick_terracotta,28.436006958112493,0.69713384,0.4322240650653839,27.35927037315651,0.6530594,0.2630455493927002,26.50213732833411,0.6516113,0.5664214491844177
ceramic_0577.png,ceramic_ground,23.111930555783914,0.64948773,0.4796621799468994,23.89403682451631,0.790643,0.1365431845188141,21.641331839499202,0.59793276,0.5598010420799255
marble_0040.png,marble_smooth,19.852781960609384,0.42564556,0.6897284984588623,18.83006534248341,0.33702073,0.5375425815582275,18.802623095786373,0.25838843,0.7726016044616699
stone_0519.png,stone_rough,25.79873629892342,0.62279755,0.569078803062439,23.71014895866982,0.53860813,0.2919018268585205,24.451137251016473,0.5054466,0.6465045213699341
marble_0105.png,marble_smooth,30.604924699716747,0.7822884,0.5204205513000488,22.40052214821981,0.5623278,0.39531782269477844,23.87855181572235,0.7079126,0.5899296998977661
wood_0048.png,wood,28.512631262081296,0.5596402,0.6961990594863892,27.312011183460005,0.4994682,0.37908220291137695,25.866176200453857,0.49651718,0.6994324326515198
stone_0160.png,brick_terracotta,29.58581351880111,0.61532116,0.6837009191513062,28.485028935507014,0.58141184,0.5243586301803589,26.82467319358372,0.5831933,0.7951882481575012
marble_0115.png,stone_rough,30.11000933519413,0.71864086,0.5357149243354797,29.024099945488327,0.6745675,0.40240561962127686,27.733232525797984,0.64680487,0.6552557945251465
stone_0732.png,stone_rough,35.164574753785196,0.8450783,0.4437774419784546,32.563985318268315,0.79571724,0.26752135157585144,32.78790540957314,0.79393053,0.5658519268035889
concrete_0041.png,ceramic_ground,31.400838466089613,0.7993402,0.3704562783241272,28.72593528929893,0.7309379,0.17247170209884644,29.413996123365077,0.7428498,0.42861396074295044
metal_0562.png,marble_smooth,22.199717588849456,0.5033041,0.556969404220581,19.476447140319312,0.3255907,0.25514400005340576,20.714422219461028,0.31951603,0.6636629104614258
ceramic_0448.png,mixed_ambiguous,30.059944531203584,0.7041643,0.4089469909667969,27.520695684901053,0.6059467,0.40320903062820435,27.91503542967225,0.60568386,0.5249817371368408
metal_0549.png,wood,35.87015344371758,0.9373355,0.32774877548217773,31.09085131959653,0.8911455,0.2025182843208313,26.421608831234295,0.9189612,0.53866046667099
plaster_0128.png,concrete_plaster,30.999726551331747,0.94099325,0.21435846388339996,27.465698059869254,0.9094437,0.13659518957138062,25.090974284151685,0.9104751,0.3026289641857147
ceramic_0071.png,mixed_ambiguous,38.46171581727122,0.90988904,0.3243444263935089,33.98027808071089,0.8496435,0.18700125813484192,31.28726883521263,0.8802841,0.39623764157295227
stone_0632.png,stone_rough,35.78418311831019,0.9515454,0.17007075250148773,34.9230570855561,0.9343987,0.1432381421327591,26.705197679767455,0.93011445,0.25776928663253784
ceramic_0230.png,ceramic_ground,18.07023213579169,0.7120413,0.3066624402999878,21.9775355695047,0.81251186,0.038956403732299805,15.736184516605128,0.55615157,0.4320719838142395
metal_0352.png,metal,37.844158277506295,0.8877137,0.41361895203590393,34.84855771937584,0.8549718,0.38775110244750977,31.02232915712071,0.85355157,0.5024779438972473
terracotta_0140.png,wood,38.01046993560084,0.89260215,0.4104233980178833,33.701824590641195,0.8339319,0.2899298071861267,30.93917485958771,0.85857207,0.5052409768104553
stone_0502.png,ceramic_ground,27.358010894554322,0.586755,0.5991973280906677,25.788216076795436,0.48993006,0.3804999589920044,25.800596812256202,0.4790341,0.6653263568878174
stone_0362.png,stone_rough,35.353383261319834,0.84389997,0.5116405487060547,32.41224106006677,0.77606463,0.45542460680007935,33.60613364806811,0.805175,0.5707210898399353
ceramic_0001.png,ceramic_ground,28.693758498805337,0.76387995,0.5111424326896667,28.764663386942967,0.7435882,0.46352145075798035,23.546857909173866,0.7492712,0.7031476497650146
wood_0094.png,mixed_ambiguous,37.036833619565016,0.8718324,0.3927989602088928,34.273055691664794,0.8222347,0.27430328726768494,33.5835428985212,0.83636886,0.555971622467041
wood_0473.png,wood,29.218695086839265,0.5945968,0.6668853163719177,27.088581489093983,0.5102723,0.42430976033210754,27.750527149447244,0.54254335,0.7759184837341309
marble_0057.png,marble_smooth,28.642233907227634,0.7958682,0.5068570375442505,27.013415267566696,0.7571645,0.307671457529068,26.282793472759938,0.70441526,0.5350034832954407
wood_0001.png,wood,43.45735497600675,0.963682,0.15886712074279785,32.77907322767561,0.8492934,0.20405213534832,29.676057419244756,0.9265967,0.26928097009658813
terracotta_0318.png,brick_terracotta,26.375265510914666,0.78256917,0.4575713872909546,26.46183284869418,0.81183916,0.1445503681898117,23.518144008143903,0.73750204,0.5003897547721863
ceramic_0214.png,stone_rough,26.810649996433877,0.53384346,0.6914712190628052,25.96679692175062,0.46720898,0.527995228767395,25.54507185602943,0.4448309,0.770698606967926
stone_0114.png,stone_rough,26.539417020962112,0.7303013,0.4874926805496216,27.047485501579352,0.72272664,0.25418946146965027,24.071278227491074,0.6619211,0.5393012166023254
metal_0196.png,metal,28.47988530443611,0.7228198,0.4718935191631317,21.644259305419983,0.5645931,0.1311628222465515,27.380750704389243,0.64922637,0.5412222146987915
stone_0720.png,ceramic_ground,32.1033985327938,0.7098379,0.5924069881439209,31.08981620673779,0.68092674,0.5725505352020264,29.125386716025417,0.6893838,0.7066141366958618
plaster_0110.png,mixed_ambiguous,37.76826033621973,0.9250324,0.28535008430480957,34.977846098963354,0.89396006,0.2707274556159973,32.11529457269967,0.89763993,0.41148555278778076
